product_code,product_title,until_stockout,monthly_sales,inventory,lead_time
mini_hneda,MINI,44,1.6,4,30
mini_cerna,MINI,-30,0.8,0,30
Slim_hneda,SLIM,19,2.4,4,30
Slim_cerna,SLIM,127,1.3,7,30
PROTECT_XS_MAX_ruzova,PROTECT,54,0.4,1,14
PROTECT_XS_MAX_hneda,PROTECT,427,0.3,4,14
PROTECT_XS_MAX_cervena,PROTECT,432,0.4,6,14
PROTECT_XS_MAX_cerna,PROTECT,985,0.2,8,14
PROTECT_XR_hneda,PROTECT,210,0.8,6,14
PROTECT_XR_fialová,PROTECT,178,0.3,2,14
PROTECT_XR_cervena,PROTECT,75,1,3,14
PROTECT_XR_cerna,PROTECT,303,0.5,5,14
PROTECT_X/XS_ruzova,PROTECT,78,0.3,1,14
PROTECT_X/XS_hneda,PROTECT,74,2,6,14
PROTECT_X/XS_fialova,PROTECT,493,0.2,3,14
PROTECT_X/XS_cervena,PROTECT,154,1.1,6,14
PROTECT_X/XS_cerna,PROTECT,12,2.3,2,14
PROTECT_S10_hneda,PROTECT,88,1.2,4,14
PROTECT_S10_cervena,PROTECT,647,0.3,6,14
PROTECT_S10_cerna,PROTECT,159,0.3,2,14
PROTECT_7/8/SE_šedá,PROTECT,5,1.6,1,14
PROTECT_7/8/SE_fialová,PROTECT,74,1.4,4,14
PROTECT_7/8/SE2_ruzova,PROTECT,78,0.6,2,14
PROTECT_7/8/SE2_hneda,PROTECT,64,2.3,6,14
PROTECT_7/8/SE2_cervena,PROTECT,46,2.5,5,14
PROTECT_7/8/SE2_cerna,PROTECT,42,3.2,6,14
PROTECT_12_mini_tmave_modra,PROTECT,12,3.4,3,14
PROTECT_12_mini_hneda,PROTECT,32,3.3,5,14
PROTECT_12_mini_cervena,PROTECT,62,2,5,14
PROTECT_12_mini_cerna,PROTECT,30,4,6,14
PROTECT_12_PRO_MAX_tmave_modra,PROTECT,53,1.8,4,14
PROTECT_12_PRO_MAX_hneda,PROTECT,-1,2.2,1,14
PROTECT_12_PRO_MAX_cervena,PROTECT,236,0.8,7,14
PROTECT_12_PRO_MAX_cerna,PROTECT,54,1.8,4,14
PROTECT_12/12_PRO_tmave_modra,PROTECT,-10,6.8,1,14
PROTECT_12/12_PRO_hneda,PROTECT,42,3.8,7,14
PROTECT_12/12_PRO_cervena,PROTECT,-7,4.2,1,14
PROTECT_12/12_PRO__cerna,PROTECT,-5,6.6,2,14
PROTECT_11_šedá,PROTECT,418,0.6,9,14
PROTECT_11_ruzova,PROTECT,305,0.5,5,14
PROTECT_11_hneda,PROTECT,48,2.9,6,14
PROTECT_11_fialova,PROTECT,123,1.1,5,14
PROTECT_11_cervena,PROTECT,48,2.4,5,14
PROTECT_11_cerna,PROTECT,51,2.7,6,14
PROTECT_11_PRO_ruzova,PROTECT,135,0.4,2,14
PROTECT_11_PRO_hneda,PROTECT,93,1.9,7,14
PROTECT_11_PRO_cervena,PROTECT,369,1.1,14,14
PROTECT_11_PRO_cerna,PROTECT,114,1.6,7,14
PROTECT_11_PRO_MAX_ruzova,PROTECT,158,0.3,2,14
PROTECT_11_PRO_MAX_hneda,PROTECT,702,0.3,8,14
PROTECT_11_PRO_MAX_cervena,PROTECT,355,0.5,6,14
PROTECT_11_PRO_MAX_cerna,PROTECT,340,0.7,8,14
PROTECT_11 PRO_šedá,PROTECT,33,0.6,1,14
PROTECT_11 PRO_zelená,PROTECT,1,2,1,14
PROTECT_11 PRO_fialová,PROTECT,36,0.6,1,14
PROTECT_11 PRO MAX_šedá,PROTECT,230,0.2,2,14
Gravirovani,PPLR_HIDDEN_PRODUCT,1.0303021E+09,29.1,999999066,0
CLEAR - iPhone XS MAX,CLEAR,338,2.3,28,30
CLEAR - iPhone XR,CLEAR,152,8.4,51,30
CLEAR - iPhone X/XS,CLEAR,11,18.1,25,30
CLEAR - iPhone 7/8/SE,CLEAR,50,24.2,65,30
CLEAR - iPhone 12PRO MAX,CLEAR,151,10.7,65,30
CLEAR - iPhone 12/12PRO,CLEAR,-16,33.1,16,30
CLEAR - iPhone 12 mini,CLEAR,145,22.8,133,30
CLEAR - iPhone 11 PRO MAX,CLEAR,184,3.5,25,30
CLEAR - iPhone 11 PRO,CLEAR,43,11.4,28,30
CLEAR - iPhone 11,CLEAR,15,23.2,35,30
AIRiXs_hneda,AIR,14,2.1,2,14
AIRiXs_cervena,AIR,69,1.4,4,14
AIRiXs_cerna,AIR,19,3.6,4,14
AIRiXs_bezova,AIR,432,0.7,11,14
AIRiXs_MAX_hneda,AIR,254,0.7,6,14
AIRiXs_MAX_cervena,AIR,1078,0.4,14,14
AIRiXs_MAX_cerna,AIR,386,0.6,8,14
AIRiXr_hneda,AIR,85,1.2,4,14
AIRiXr_cervena,AIR,12,1.1,1,14
AIRiXr_cerna,AIR,170,1.5,9,14
AIRiX_tmava,AIR,111,1.2,5,14
AIRiX_hneda,AIR,114,1.4,6,14
AIRiX_cervena,AIR,410,0.8,12,14
AIRiX_cerna,AIR,-2,2.5,1,14
AIRiX_bezova,AIR,27,0.7,1,14
AIRi7/8/SE2_tmava,AIR,6,3,2,14
AIRi7/8/SE2_hneda,AIR,2,3.7,2,14
AIRi7/8/SE2_cervena,AIR,45,3,6,14
