product_code,product_title,until_stockout,monthly_sales,inventory,lead_time
mini_hneda,MINI,45,1.6,4,30
mini_cerna,MINI,-30,0.8,0,30
Slim_hneda,SLIM,20,2.4,4,30
Slim_cerna,SLIM,129,1.3,7,30
PROTECT_XS_MAX_ruzova,PROTECT,59,0.4,1,14
PROTECT_XS_MAX_hneda,PROTECT,433,0.3,4,14
PROTECT_XS_MAX_cervena,PROTECT,437,0.4,6,14
PROTECT_XS_MAX_cerna,PROTECT,999,0.2,8,14
PROTECT_XR_hneda,PROTECT,213,0.8,6,14
PROTECT_XR_fialová,PROTECT,183,0.3,2,14
PROTECT_XR_cervena,PROTECT,76,1,3,14
PROTECT_XR_cerna,PROTECT,307,0.5,5,14
PROTECT_X/XS_ruzova,PROTECT,80,0.3,1,14
PROTECT_X/XS_hneda,PROTECT,75,2,6,14
PROTECT_X/XS_fialova,PROTECT,508,0.2,3,14
PROTECT_X/XS_cervena,PROTECT,156,1.1,6,14
PROTECT_X/XS_cerna,PROTECT,12,2.2,2,14
PROTECT_S10_hneda,PROTECT,89,1.2,4,14
PROTECT_S10_cervena,PROTECT,654,0.3,6,14
PROTECT_S10_cerna,PROTECT,161,0.3,2,14
PROTECT_7/8/SE_šedá,PROTECT,5,1.5,1,14
PROTECT_7/8/SE_fialová,PROTECT,78,1.3,4,14
PROTECT_7/8/SE2_ruzova,PROTECT,80,0.6,2,14
PROTECT_7/8/SE2_hneda,PROTECT,65,2.3,6,14
PROTECT_7/8/SE2_cervena,PROTECT,47,2.4,5,14
PROTECT_7/8/SE2_cerna,PROTECT,43,3.1,6,14
PROTECT_12_mini_tmave_modra,PROTECT,13,3.3,3,14
PROTECT_12_mini_hneda,PROTECT,33,3.1,5,14
PROTECT_12_mini_cervena,PROTECT,65,1.9,5,14
PROTECT_12_mini_cerna,PROTECT,32,3.9,6,14
PROTECT_12_PRO_MAX_tmave_modra,PROTECT,56,1.7,4,14
PROTECT_12_PRO_MAX_hneda,PROTECT,0,2.1,1,14
PROTECT_12_PRO_MAX_cervena,PROTECT,245,0.8,7,14
PROTECT_12_PRO_MAX_cerna,PROTECT,57,1.7,4,14
PROTECT_12/12_PRO_tmave_modra,PROTECT,-10,6.5,1,14
PROTECT_12/12_PRO_hneda,PROTECT,43,3.6,7,14
PROTECT_12/12_PRO_cervena,PROTECT,-7,4.1,1,14
