product_code,product_title,until_stockout,monthly_sales,inventory,lead_time
mini_hneda,MINI,122949,0,4,30
mini_cerna,MINI,-30,0,0,30
Slim_hneda,SLIM,81956,0,4,30
Slim_cerna,SLIM,258226,0,7,30
PROTECT_XS_MAX_ruzova,PROTECT,737863,0,1,14
PROTECT_XS_MAX_hneda,PROTECT,737863,0,4,14
PROTECT_XS_MAX_cervena,PROTECT,737863,0,6,14
PROTECT_XS_MAX_cerna,PROTECT,1967658,0,8,14
PROTECT_XR_hneda,PROTECT,368924,0,6,14
PROTECT_XR_fialová,PROTECT,737863,0,2,14
PROTECT_XR_cervena,PROTECT,147561,0,3,14
PROTECT_XR_cerna,PROTECT,527041,0,5,14
PROTECT_X/XS_ruzova,PROTECT,245945,0,1,14
PROTECT_X/XS_hneda,PROTECT,152650,0,6,14
PROTECT_X/XS_fialova,PROTECT,2213617,0,3,14
PROTECT_X/XS_cervena,PROTECT,295136,0,6,14
PROTECT_X/XS_cerna,PROTECT,50874,0,2,14
PROTECT_S10_hneda,PROTECT,173604,0,4,14
PROTECT_S10_cervena,PROTECT,1106801,0,6,14
PROTECT_S10_cerna,PROTECT,295136,0,2,14
PROTECT_7/8/SE_šedá,PROTECT,81972,0,1,14
PROTECT_7/8/SE_fialová,PROTECT,491904,0,4,14
PROTECT_7/8/SE2_ruzova,PROTECT,210807,0,2,14
PROTECT_7/8/SE2_hneda,PROTECT,170265,0,6,14
PROTECT_7/8/SE2_cervena,PROTECT,131749,0,5,14
PROTECT_7/8/SE2_cerna,PROTECT,122965,0,6,14
PROTECT_12_mini_tmave_modra,PROTECT,184455,0,3,14
PROTECT_12_mini_hneda,PROTECT,245945,0,5,14
PROTECT_12_mini_cervena,PROTECT,409917,0,5,14
PROTECT_12_mini_cerna,PROTECT,260413,0,6,14
PROTECT_12_PRO_MAX_tmave_modra,PROTECT,491904,0,4,14
PROTECT_12_PRO_MAX_hneda,PROTECT,81972,0,1,14
PROTECT_12_PRO_MAX_cervena,PROTECT,1291270,0,7,14
PROTECT_12_PRO_MAX_cerna,PROTECT,368924,0,4,14
PROTECT_12/12_PRO_tmave_modra,PROTECT,30730,0,1,14
PROTECT_12/12_PRO_hneda,PROTECT,271835,0,7,14
PROTECT_12/12_PRO_cervena,PROTECT,35123,0,1,14
PROTECT_12/12_PRO__cerna,PROTECT,43390,0,2,14
PROTECT_11_šedá,PROTECT,2213617,0,9,14
PROTECT_11_ruzova,PROTECT,527041,0,5,14
PROTECT_11_hneda,PROTECT,102945,0,6,14
PROTECT_11_fialova,PROTECT,737863,0,5,14
PROTECT_11_cervena,PROTECT,102468,0,5,14
PROTECT_11_cerna,PROTECT,107968,0,6,14
PROTECT_11_PRO_ruzova,PROTECT,295136,0,2,14
PROTECT_11_PRO_hneda,PROTECT,178094,0,7,14
PROTECT_11_PRO_cervena,PROTECT,645628,0,14,14
PROTECT_11_PRO_cerna,PROTECT,215200,0,7,14
PROTECT_11_PRO_MAX_ruzova,PROTECT,162,0.3,2,14
PROTECT_11_PRO_MAX_hneda,PROTECT,1180589,0,8,14
PROTECT_11_PRO_MAX_cervena,PROTECT,632452,0,6,14
PROTECT_11_PRO_MAX_cerna,PROTECT,590287,0,8,14
PROTECT_11 PRO_šedá,PROTECT,184455,0,1,14
PROTECT_11 PRO_zelená,PROTECT,56745,0,1,14
PROTECT_11 PRO_fialová,PROTECT,737863,0,1,14
PROTECT_11 PRO MAX_šedá,PROTECT,234,0.2,2,14
Gravirovani,PPLR_HIDDEN_PRODUCT,576,52,999999066,0
CLEAR - iPhone XS MAX,CLEAR,1032997,0,28,30
CLEAR - iPhone XR,CLEAR,522632,0,51,30
CLEAR - iPhone X/XS,CLEAR,115988,0,25,30
CLEAR - iPhone 7/8/SE,CLEAR,226205,0,65,30
CLEAR - iPhone 12PRO MAX,CLEAR,978786,0,65,30
CLEAR - iPhone 12/12PRO,CLEAR,69011,0,16,30
CLEAR - iPhone 12 mini,CLEAR,971629,0,133,30
CLEAR - iPhone 11 PRO MAX,CLEAR,595032,0,25,30
CLEAR - iPhone 11 PRO,CLEAR,212965,0,28,30
CLEAR - iPhone 11,CLEAR,125337,0,35,30
AIRiXs_hneda,AIR,46103,0,2,14
AIRiXs_cervena,AIR,140534,0,4,14
AIRiXs_cerna,AIR,54643,0,4,14
AIRiXs_bezova,AIR,737863,0,11,14
AIRiXs_MAX_hneda,AIR,442712,0,6,14
AIRiXs_MAX_cervena,AIR,2066041,0,14,14
AIRiXs_MAX_cerna,AIR,655876,0,8,14
AIRiXr_hneda,AIR,163958,0,4,14
AIRiXr_cervena,AIR,43390,0,1,14
AIRiXr_cerna,AIR,301844,0,9,14
AIRiX_tmava,AIR,204951,0,5,14
AIRiX_hneda,AIR,221349,0,6,14
AIRiX_cervena,AIR,737863,0,12,14
AIRiX_cerna,AIR,19928,0,1,14
AIRiX_bezova,AIR,81972,0,1,14
AIRi7/8/SE2_tmava,AIR,44705,0,2,14
AIRi7/8/SE2_hneda,AIR,37825,0,2,14
AIRi7/8/SE2_cervena,AIR,130199,0,6,14
AIRi7/8/SE2_cerna,AIR,54643,0,4,14
AIRi7/8/SE2_bezova,AIR,64149,0,2,14
3D_iXS MAX,LEMORY 3D,3339834,0,86,30
3D_iXS,LEMORY 3D,606083,0,46,30
3D_iXR,LEMORY 3D,249546,0,23,30
3D_iX,LEMORY 3D,298437,0,36,30
3D_i7/8/SE2,LEMORY 3D,85,35.8,138,30
3D_i12_mini,LEMORY 3D,1346888,0,115,30
3D_i12_PRO_MAX,LEMORY 3D,1147778,0,42,30
3D_i12_PRO,LEMORY 3D,503327,0,88,30
3D_i11_PRO_MAX,LEMORY 3D,2389286,0,68,30
3D_i11_PRO,LEMORY 3D,239456,0,37,30
3D_i11,LEMORY 3D,-16,48.1,24,30
