product_code,product_title,until_stockout,monthly_sales,inventory,lead_time
Průhledný kryt CLEAR - iPhone 12/12 PRO,CLEAR,322790,0,70,30
Průhledný kryt CLEAR - iPhone 7/8/SE,CLEAR,190028,0,51,30
Průhledný kryt CLEAR - iPhone 11,CLEAR,146084,0,40,30
Kryt PROTECT - iPhone 12/12 PRO - kožený,PROTECT,170862,0,22,14
Gravírování,PPLR_HIDDEN_PRODUCT,53,29.4,53,0
Průhledný kryt CLEAR - iPhone 12 mini,CLEAR,232983,0,30,30
Průhledný kryt CLEAR - iPhone X/XS,CLEAR,142784,0,30,30
Kryt AIR pro iPhone SE/7/8 - kožený,AIR,122150,0,25,14
iPhone 12/12 PRO - tvrzené ochranné sklo,LEMORY 3D,268857,0,43,30
iPhone 7/8/SE - 3D tvrzené ochranné sklo,LEMORY 3D,183200,0,37,30
Průhledný kryt CLEAR - iPhone 12 PRO MAX,CLEAR,331261,0,22,30
Průhledný kryt CLEAR - iPhone XR,CLEAR,192459,0,18,30
iPhone 11 - 3D tvrzené ochranné sklo,LEMORY 3D,-8,28.7,22,30
Kryt PROTECT - iPhone 11 - kožený,PROTECT,50679,0,9,14
Průhledný kryt CLEAR - iPhone 11 PRO,CLEAR,99890,0,13,30
Kryt PROTECT pro iPhone 7/8/SE - kožený,PROTECT,105396,0,9,14
Kryt AIR pro iPhone XS - kožený,AIR,62517,0,10,14
Kryt PROTECT - iPhone 12 mini - kožený,PROTECT,113505,0,8,14
Kryt AIR pro iPhone XR - kožený,AIR,131749,0,10,14
Kožená peněženka SLIM s kapsou na mince,SLIM,41736,0,3,30
Kryt PROTECT - iPhone 12 PRO MAX - kožený,PROTECT,170265,0,6,14
Kryt AIR pro iPhone X - kožený,AIR,62122,0,8,14
iPhone 12 mini - tvrzené ochranné sklo,LEMORY 3D,159843,0,13,30
iPhone 11 PRO - 3D tvrzené ochranné sklo,LEMORY 3D,67049,0,10,30
iPhone 12 PRO MAX - tvrzené ochranné sklo,LEMORY 3D,340528,0,12,30
iPhone XR - 3D tvrzené ochranné sklo,LEMORY 3D,124841,0,11,30
Kryt PROTECT pro iPhone X/XS - kožený,PROTECT,47900,0,5,14
iPhone X - 3D tvrzené ochranné sklo,LEMORY 3D,76302,0,9,30
Kryt PROTECT pro  iPhone 11 PRO - kožený,PROTECT,31384,0,4,14
Kožená MINI peněženka,MINI,84298,0,4,30
Průhledný kryt CLEAR - iPhone 11 PRO MAX,CLEAR,101745,0,4,30
Kryt AIR pro iPhone XS MAX - kožený,AIR,61475,0,2,14
Průhledný kryt CLEAR - iPhone XS MAX,CLEAR,77641,0,2,30
iPhone XS - 3D tvrzené ochranné sklo,LEMORY 3D,13146,0,1,30
iPhone XS MAX - 3D tvrzené ochranné sklo,LEMORY 3D,38805,0,1,30
iPhone 11 PRO MAX - 3D tvrzené ochranné sklo,LEMORY 3D,36863,0,1,30
Doprava GLS,,737871,0,1,5
Doprava - GLS,,737871,0,1,5
Kryt PROTECT - iPhone 11 - kožený,LEMORY AIR PRO,-5663,0,-1,30
