product_code,product_title,until_stockout,monthly_sales,inventory,lead_time
mini_hneda,MINI,43,1.6,4,30
mini_cerna,MINI,-30,0.9,0,30
Slim_hneda,SLIM,20,2.4,4,30
Slim_cerna,SLIM,128,1.3,7,30
PROTECT_XS_MAX_ruzova,PROTECT,56,0.4,1,14
PROTECT_XS_MAX_hneda,PROTECT,209,0.5,4,14
PROTECT_XS_MAX_cervena,PROTECT,301,0.6,6,14
PROTECT_XS_MAX_cerna,PROTECT,991,0.2,8,14
PROTECT_XR_hneda,PROTECT,198,0.8,6,14
PROTECT_XR_fialová,PROTECT,180,0.3,2,14
PROTECT_XR_cervena,PROTECT,70,1.1,3,14
PROTECT_XR_cerna,PROTECT,275,0.5,5,14
PROTECT_X/XS_ruzova,PROTECT,79,0.3,1,14
PROTECT_X/XS_hneda,PROTECT,75,2,6,14
PROTECT_X/XS_fialova,PROTECT,586,0.1,3,14
PROTECT_X/XS_cervena,PROTECT,155,1.1,6,14
PROTECT_X/XS_cerna,PROTECT,10,2.5,2,14
PROTECT_S10_hneda,PROTECT,88,1.2,4,14
PROTECT_S10_cervena,PROTECT,661,0.3,6,14
PROTECT_S10_cerna,PROTECT,160,0.3,2,14
PROTECT_7/8/SE_šedá,PROTECT,25,0.8,1,14
PROTECT_7/8/SE_fialová,PROTECT,159,0.7,4,14
PROTECT_7/8/SE2_ruzova,PROTECT,76,0.7,2,14
PROTECT_7/8/SE2_hneda,PROTECT,67,2.2,6,14
PROTECT_7/8/SE2_cervena,PROTECT,47,2.4,5,14
PROTECT_7/8/SE2_cerna,PROTECT,60,2.4,6,14
PROTECT_12_mini_tmave_modra,PROTECT,12,3.4,3,14
PROTECT_12_mini_hneda,PROTECT,82,1.6,5,14
PROTECT_12_mini_cervena,PROTECT,96,1.4,5,14
PROTECT_12_mini_cerna,PROTECT,77,2,6,14
PROTECT_12_PRO_MAX_tmave_modra,PROTECT,54,1.7,4,14
PROTECT_12_PRO_MAX_hneda,PROTECT,28,0.7,1,14
PROTECT_12_PRO_MAX_cervena,PROTECT,705,0.3,7,14
PROTECT_12_PRO_MAX_cerna,PROTECT,177,0.6,4,14
PROTECT_12/12_PRO_tmave_modra,PROTECT,-9,5.3,1,14
PROTECT_12/12_PRO_hneda,PROTECT,148,1.3,7,14
PROTECT_12/12_PRO_cervena,PROTECT,7,1.4,1,14
PROTECT_12/12_PRO__cerna,PROTECT,12,2.3,2,14
PROTECT_11_šedá,PROTECT,1135,0.2,9,14
PROTECT_11_ruzova,PROTECT,238,0.6,5,14
PROTECT_11_hneda,PROTECT,47,2.9,6,14
PROTECT_11_fialova,PROTECT,155,0.9,5,14
PROTECT_11_cervena,PROTECT,47,2.4,5,14
PROTECT_11_cerna,PROTECT,51,2.7,6,14
PROTECT_11_PRO_ruzova,PROTECT,136,0.4,2,14
PROTECT_11_PRO_hneda,PROTECT,92,2,7,14
PROTECT_11_PRO_cervena,PROTECT,373,1.1,14,14
PROTECT_11_PRO_cerna,PROTECT,114,1.6,7,14
PROTECT_11_PRO_MAX_ruzova,PROTECT,162,0.3,2,14
PROTECT_11_PRO_MAX_hneda,PROTECT,669,0.4,8,14
PROTECT_11_PRO_MAX_cervena,PROTECT,357,0.5,6,14
PROTECT_11_PRO_MAX_cerna,PROTECT,328,0.7,8,14
PROTECT_11 PRO_šedá,PROTECT,34,0.6,1,14
PROTECT_11 PRO_zelená,PROTECT,17,0.9,1,14
PROTECT_11 PRO_fialová,PROTECT,-13,30,1,14
PROTECT_11 PRO MAX_šedá,PROTECT,234,0.2,2,14
Gravirovani,PPLR_HIDDEN_PRODUCT,536,55.9,999999066,0
