product_code,product_title,until_stockout,monthly_sales,inventory,lead_time
mini_hneda,MINI,44,1.6,4,30
mini_cerna,MINI,-30,0.8,0,30
Slim_hneda,SLIM,20,2.4,4,30
Slim_cerna,SLIM,128,1.3,7,30
PROTECT_XS_MAX_ruzova,PROTECT,56,0.4,1,14
PROTECT_XS_MAX_hneda,PROTECT,430,0.3,4,14
PROTECT_XS_MAX_cervena,PROTECT,434,0.4,6,14
PROTECT_XS_MAX_cerna,PROTECT,991,0.2,8,14
PROTECT_XR_hneda,PROTECT,211,0.8,6,14
PROTECT_XR_fialová,PROTECT,180,0.3,2,14
PROTECT_XR_cervena,PROTECT,76,1,3,14
PROTECT_XR_cerna,PROTECT,305,0.5,5,14
PROTECT_X/XS_ruzova,PROTECT,79,0.3,1,14
PROTECT_X/XS_hneda,PROTECT,75,2,6,14
PROTECT_X/XS_fialova,PROTECT,499,0.2,3,14
PROTECT_X/XS_cervena,PROTECT,155,1.1,6,14
PROTECT_X/XS_cerna,PROTECT,12,2.3,2,14
PROTECT_S10_hneda,PROTECT,88,1.2,4,14
PROTECT_S10_cervena,PROTECT,650,0.3,6,14
PROTECT_S10_cerna,PROTECT,160,0.3,2,14
PROTECT_7/8/SE_šedá,PROTECT,5,1.5,1,14
PROTECT_7/8/SE_fialová,PROTECT,76,1.3,4,14
PROTECT_7/8/SE2_ruzova,PROTECT,79,0.6,2,14
PROTECT_7/8/SE2_hneda,PROTECT,64,2.3,6,14
PROTECT_7/8/SE2_cervena,PROTECT,47,2.4,5,14
PROTECT_7/8/SE2_cerna,PROTECT,42,3.2,6,14
PROTECT_12_mini_tmave_modra,PROTECT,12,3.4,3,14
PROTECT_12_mini_hneda,PROTECT,32,3.2,5,14
PROTECT_12_mini_cervena,PROTECT,63,1.9,5,14
PROTECT_12_mini_cerna,PROTECT,31,4,6,14
PROTECT_12_PRO_MAX_tmave_modra,PROTECT,54,1.7,4,14
PROTECT_12_PRO_MAX_hneda,PROTECT,-1,2.2,1,14
PROTECT_12_PRO_MAX_cervena,PROTECT,239,0.8,7,14
PROTECT_12_PRO_MAX_cerna,PROTECT,55,1.7,4,14
PROTECT_12/12_PRO_tmave_modra,PROTECT,-10,6.7,1,14
PROTECT_12/12_PRO_hneda,PROTECT,42,3.7,7,14
PROTECT_12/12_PRO_cervena,PROTECT,-7,4.2,1,14
PROTECT_12/12_PRO__cerna,PROTECT,-5,6.5,2,14
PROTECT_11_šedá,PROTECT,424,0.6,9,14
PROTECT_11_ruzova,PROTECT,306,0.5,5,14
PROTECT_11_hneda,PROTECT,48,2.9,6,14
PROTECT_11_fialova,PROTECT,125,1.1,5,14
PROTECT_11_cervena,PROTECT,48,2.4,5,14
PROTECT_11_cerna,PROTECT,52,2.7,6,14
PROTECT_11_PRO_ruzova,PROTECT,136,0.4,2,14
PROTECT_11_PRO_hneda,PROTECT,94,1.9,7,14
PROTECT_11_PRO_cervena,PROTECT,371,1.1,14,14
PROTECT_11_PRO_cerna,PROTECT,115,1.6,7,14
PROTECT_11_PRO_MAX_ruzova,PROTECT,162,0.3,2,14
PROTECT_11_PRO_MAX_hneda,PROTECT,706,0.3,8,14
PROTECT_11_PRO_MAX_cervena,PROTECT,357,0.5,6,14
PROTECT_11_PRO_MAX_cerna,PROTECT,342,0.7,8,14
PROTECT_11 PRO_šedá,PROTECT,34,0.6,1,14
PROTECT_11 PRO_zelená,PROTECT,1,1.9,1,14
PROTECT_11 PRO_fialová,PROTECT,37,0.6,1,14
PROTECT_11 PRO MAX_šedá,PROTECT,234,0.2,2,14
Gravirovani,PPLR_HIDDEN_PRODUCT,513,58.5,999999066,0
CLEAR - iPhone XS MAX,CLEAR,341,2.3,28,30
CLEAR - iPhone XR,CLEAR,154,8.3,51,30
CLEAR - iPhone X/XS,CLEAR,11,18,25,30
CLEAR - iPhone 7/8/SE,CLEAR,51,24,65,30
CLEAR - iPhone 12PRO MAX,CLEAR,154,10.6,65,30
CLEAR - iPhone 12/12PRO,CLEAR,-16,32.7,16,30
CLEAR - iPhone 12 mini,CLEAR,147,22.4,133,30
CLEAR - iPhone 11 PRO MAX,CLEAR,186,3.5,25,30
CLEAR - iPhone 11 PRO,CLEAR,44,11.3,28,30
CLEAR - iPhone 11,CLEAR,15,23.1,35,30
AIRiXs_hneda,AIR,14,2.1,2,14
AIRiXs_cervena,AIR,70,1.4,4,14
AIRiXs_cerna,AIR,19,3.6,4,14
AIRiXs_bezova,AIR,434,0.7,11,14
AIRiXs_MAX_hneda,AIR,255,0.7,6,14
AIRiXs_MAX_cervena,AIR,1083,0.4,14,14
AIRiXs_MAX_cerna,AIR,388,0.6,8,14
AIRiXr_hneda,AIR,86,1.2,4,14
AIRiXr_cervena,AIR,12,1.1,1,14
AIRiXr_cerna,AIR,170,1.5,9,14
AIRiX_tmava,AIR,111,1.2,5,14
AIRiX_hneda,AIR,114,1.4,6,14
AIRiX_cervena,AIR,412,0.8,12,14
AIRiX_cerna,AIR,-2,2.5,1,14
AIRiX_bezova,AIR,28,0.7,1,14
AIRi7/8/SE2_tmava,AIR,6,2.9,2,14
AIRi7/8/SE2_hneda,AIR,2,3.7,2,14
AIRi7/8/SE2_cervena,AIR,46,3,6,14
