product_code,product_title,until_stockout,monthly_sales,inventory,lead_time
,MINI,-3,4.3,4,30
mini_hneda,MINI,-30,1.6,0,30
,SLIM,-3,4.3,4,30
mini_cerna,SLIM,233,0.8,7,30
,PROTECT,-8,4.3,1,14
Slim_hneda,PROTECT,36,2.4,4,14
,PROTECT,27,4.3,6,14
Slim_cerna,PROTECT,167,1.3,8,14
,PROTECT,27,4.3,6,14
PROTECT_XS_MAX_ruzova,PROTECT,126,0.4,2,14
,PROTECT,6,4.3,3,14
PROTECT_XS_MAX_hneda,PROTECT,541,0.3,5,14
,PROTECT,-8,4.3,1,14
PROTECT_XS_MAX_cervena,PROTECT,434,0.4,6,14
,PROTECT,6,4.3,3,14
PROTECT_XS_MAX_cerna,PROTECT,739,0.2,6,14
,PROTECT,-1,4.3,2,14
PROTECT_XR_hneda,PROTECT,136,0.8,4,14
,PROTECT,27,4.3,6,14
PROTECT_XR_fialová,PROTECT,180,0.3,2,14
,PROTECT,-8,4.3,1,14
PROTECT_XR_cervena,PROTECT,106,1,4,14
,PROTECT,-1,4.3,2,14
PROTECT_XR_cerna,PROTECT,369,0.5,6,14
,PROTECT,20,4.3,5,14
PROTECT_X/XS_ruzova,PROTECT,544,0.3,6,14
,PROTECT,6,4.3,3,14
PROTECT_X/XS_hneda,PROTECT,60,2,5,14
,PROTECT,20,4.3,5,14
PROTECT_X/XS_fialova,PROTECT,1012,0.2,6,14
,PROTECT,13,4.3,4,14
PROTECT_X/XS_cervena,PROTECT,14,1.1,1,14
,PROTECT,34,4.3,7,14
PROTECT_X/XS_cerna,PROTECT,39,2.3,4,14
,PROTECT,-8,4.3,1,14
PROTECT_S10_hneda,PROTECT,165,1.2,7,14
,PROTECT,-8,4.3,1,14
PROTECT_S10_cervena,PROTECT,207,0.3,2,14
,PROTECT,48,4.3,9,14
PROTECT_S10_cerna,PROTECT,422,0.3,5,14
,PROTECT,27,4.3,6,14
PROTECT_7/8/SE_šedá,PROTECT,83,1.5,5,14
,PROTECT,20,4.3,5,14
PROTECT_7/8/SE_fialová,PROTECT,121,1.3,6,14
,PROTECT,-1,4.3,2,14
PROTECT_7/8/SE2_ruzova,PROTECT,312,0.6,7,14
,PROTECT,83,4.3,14,14
PROTECT_7/8/SE2_hneda,PROTECT,78,2.3,7,14
,PROTECT,-1,4.3,2,14
PROTECT_7/8/SE2_cervena,PROTECT,84,2.4,8,14
,PROTECT,27,4.3,6,14
PROTECT_7/8/SE2_cerna,PROTECT,61,3.2,8,14
,PROTECT,-8,4.3,1,14
PROTECT_12_mini_tmave_modra,PROTECT,-6,3.4,1,14
,PROTECT,-8,4.3,1,14
PROTECT_12_mini_hneda,PROTECT,4,3.2,2,14
