product_code,product_title,until_stockout,monthly_sales,inventory,lead_time,month_to_date_qty,last_month_qty
mini_hneda,MINI,46,1.6,4,30,0,3
mini_cerna,MINI,-30,0.8,0,30,0,1
Slim_hneda,SLIM,20,2.4,4,30,0,4
Slim_cerna,SLIM,131,1.3,7,30,0,0
PROTECT_XS_MAX_ruzova,PROTECT,64,0.4,1,14,0,0
PROTECT_XS_MAX_hneda,PROTECT,438,0.3,4,14,0,1
PROTECT_XS_MAX_cervena,PROTECT,442,0.4,6,14,0,0
PROTECT_XS_MAX_cerna,PROTECT,1012,0.2,8,14,0,0
PROTECT_XR_hneda,PROTECT,215,0.8,6,14,0,0
PROTECT_XR_fialová,PROTECT,188,0.3,2,14,0,0
PROTECT_XR_cervena,PROTECT,78,1,3,14,0,0
PROTECT_XR_cerna,PROTECT,311,0.5,5,14,0,0
PROTECT_X/XS_ruzova,PROTECT,81,0.3,1,14,0,0
PROTECT_X/XS_hneda,PROTECT,76,2,6,14,0,0
PROTECT_X/XS_fialova,PROTECT,523,0.2,3,14,0,0
PROTECT_X/XS_cervena,PROTECT,158,1,6,14,0,2
PROTECT_X/XS_cerna,PROTECT,13,2.2,2,14,0,2
PROTECT_S10_hneda,PROTECT,90,1.1,4,14,0,1
PROTECT_S10_cervena,PROTECT,662,0.3,6,14,0,0
PROTECT_S10_cerna,PROTECT,163,0.3,2,14,0,0
PROTECT_7/8/SE_šedá,PROTECT,6,1.5,1,14,0,0
PROTECT_7/8/SE_fialová,PROTECT,81,1.3,4,14,0,0
PROTECT_7/8/SE2_ruzova,PROTECT,81,0.6,2,14,0,3
PROTECT_7/8/SE2_hneda,PROTECT,66,2.2,6,14,0,0
PROTECT_7/8/SE2_cervena,PROTECT,48,2.4,5,14,0,0
PROTECT_7/8/SE2_cerna,PROTECT,44,3.1,6,14,0,5
PROTECT_12_mini_tmave_modra,PROTECT,14,3.1,3,14,0,2
PROTECT_12_mini_hneda,PROTECT,35,3,5,14,0,1
PROTECT_12_mini_cervena,PROTECT,68,1.8,5,14,0,0
PROTECT_12_mini_cerna,PROTECT,34,3.7,6,14,0,3
PROTECT_12_PRO_MAX_tmave_modra,PROTECT,60,1.6,4,14,0,1
PROTECT_12_PRO_MAX_hneda,PROTECT,0,2,1,14,0,2
PROTECT_12_PRO_MAX_cervena,PROTECT,253,0.8,7,14,0,0
PROTECT_12_PRO_MAX_cerna,PROTECT,59,1.6,4,14,0,2
PROTECT_12/12_PRO_tmave_modra,PROTECT,-10,6.2,1,14,0,9
PROTECT_12/12_PRO_hneda,PROTECT,45,3.5,7,14,0,4
PROTECT_12/12_PRO_cervena,PROTECT,-7,4,1,14,0,6
PROTECT_12/12_PRO__cerna,PROTECT,-5,6.2,2,14,0,5
PROTECT_11_šedá,PROTECT,448,0.6,9,14,0,1
PROTECT_11_ruzova,PROTECT,312,0.5,5,14,0,0
PROTECT_11_hneda,PROTECT,49,2.8,6,14,0,3
PROTECT_11_fialova,PROTECT,133,1,5,14,0,0
PROTECT_11_cervena,PROTECT,49,2.3,5,14,0,1
PROTECT_11_cerna,PROTECT,53,2.7,6,14,0,3
PROTECT_11_PRO_ruzova,PROTECT,139,0.4,2,14,0,1
PROTECT_11_PRO_hneda,PROTECT,96,1.9,7,14,0,1
PROTECT_11_PRO_cervena,PROTECT,377,1.1,14,14,0,0
PROTECT_11_PRO_cerna,PROTECT,117,1.6,7,14,0,1
PROTECT_11_PRO_MAX_ruzova,PROTECT,178,0.3,2,14,0,0
PROTECT_11_PRO_MAX_hneda,PROTECT,718,0.3,8,14,0,0
PROTECT_11_PRO_MAX_cervena,PROTECT,363,0.5,6,14,0,0
PROTECT_11_PRO_MAX_cerna,PROTECT,348,0.7,8,14,0,0
PROTECT_11 PRO_šedá,PROTECT,36,0.6,1,14,0,0
PROTECT_11 PRO_zelená,PROTECT,2,1.9,1,14,0,1
PROTECT_11 PRO_fialová,PROTECT,45,0.5,1,14,0,0
PROTECT_11 PRO MAX_šedá,PROTECT,250,0.2,2,14,0,0
Gravirovani,PPLR_HIDDEN_PRODUCT,512,58.5,999999066,0,0,48
CLEAR - iPhone XS MAX,CLEAR,352,2.2,28,30,0,2
CLEAR - iPhone XR,CLEAR,159,8.1,51,30,0,17
CLEAR - iPhone X/XS,CLEAR,12,17.5,25,30,0,30
CLEAR - iPhone 7/8/SE,CLEAR,53,23.3,65,30,0,63
CLEAR - iPhone 12PRO MAX,CLEAR,165,10,65,30,0,18
CLEAR - iPhone 12/12PRO,CLEAR,-15,31.1,16,30,0,62
CLEAR - iPhone 12 mini,CLEAR,158,21.2,133,30,0,30
CLEAR - iPhone 11 PRO MAX,CLEAR,192,3.4,25,30,0,6
CLEAR - iPhone 11 PRO,CLEAR,46,11,28,30,0,14
CLEAR - iPhone 11,CLEAR,16,22.4,35,30,0,42
AIRiXs_hneda,AIR,14,2.1,2,14,0,2
AIRiXs_cervena,AIR,71,1.4,4,14,0,1
AIRiXs_cerna,AIR,20,3.5,4,14,0,6
AIRiXs_bezova,AIR,442,0.7,11,14,0,1
AIRiXs_MAX_hneda,AIR,260,0.7,6,14,0,1
AIRiXs_MAX_cervena,AIR,1106,0.4,14,14,0,0
AIRiXs_MAX_cerna,AIR,395,0.6,8,14,0,0
AIRiXr_hneda,AIR,88,1.2,4,14,0,2
AIRiXr_cervena,AIR,13,1.1,1,14,0,4
AIRiXr_cerna,AIR,174,1.4,9,14,0,4
AIRiX_tmava,AIR,113,1.2,5,14,0,0
AIRiX_hneda,AIR,117,1.4,6,14,0,1
AIRiX_cervena,AIR,420,0.8,12,14,0,1
AIRiX_cerna,AIR,-2,2.4,1,14,0,6
AIRiX_bezova,AIR,29,0.7,1,14,0,0
AIRi7/8/SE2_tmava,AIR,6,2.9,2,14,0,3
AIRi7/8/SE2_hneda,AIR,2,3.6,2,14,0,6
AIRi7/8/SE2_cervena,AIR,47,2.9,6,14,0,3
AIRi7/8/SE2_cerna,AIR,11,4.7,4,14,0,7
AIRi7/8/SE2_bezova,AIR,15,2,2,14,0,1
3D_iXS MAX,LEMORY 3D,2056,1.2,86,30,0,0
3D_iXS,LEMORY 3D,343,3.7,46,30,0,1
3D_iXR,LEMORY 3D,125,4.4,23,30,0,13
3D_iX,LEMORY 3D,156,5.8,36,30,0,10
3D_i7/8/SE2,LEMORY 3D,55,48.7,138,30,0,38
3D_i12_mini,LEMORY 3D,240,12.8,115,30,0,14
3D_i12_PRO_MAX,LEMORY 3D,198,5.5,42,30,0,10
